source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[proteomexchange accession number]	comment[data file]	comment[file url]	comment[technical replicate]	comment[fraction identifier]	comment[Fractionation method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	factor value[organism part]
PXD004332-Sample-2	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 37	proteomic profiling by mass spectrometry	PXD004332	Pineal_gland_bRPLC_Velos_12.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pineal_gland_bRPLC_Velos_12.raw	1	12	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 38	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_1_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_1_Fusion.raw	1	1	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 39	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_2_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_2_Fusion.raw	1	2	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 40	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_3_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_3_Fusion.raw	1	3	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 41	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_4_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_4_Fusion.raw	1	4	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 42	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_5_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_5_Fusion.raw	1	5	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 43	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_6_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_6_Fusion.raw	1	6	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 44	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_7_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_7_Fusion.raw	1	7	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 45	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_8_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_8_Fusion.raw	1	8	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 46	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_9_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_9_Fusion.raw	1	9	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 47	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_10_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_10_Fusion.raw	1	10	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 48	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_11_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_11_Fusion.raw	1	11	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 49	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_12_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_12_Fusion.raw	1	12	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 50	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_13_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_13_Fusion.raw	1	13	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 51	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_14_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_14_Fusion.raw	1	14	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 52	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_15_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_15_Fusion.raw	1	15	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 53	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_16_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_16_Fusion.raw	1	16	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 54	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_17_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_17_Fusion.raw	1	17	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 55	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_18_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_18_Fusion.raw	1	18	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 56	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_19_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_19_Fusion.raw	1	19	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 57	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_20_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_20_Fusion.raw	1	20	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 58	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_21_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_21_Fusion.raw	1	21	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 59	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_22_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_22_Fusion.raw	1	22	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 60	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_23_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_23_Fusion.raw	1	23	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
PXD004332-Sample-3	homo sapiens	pineal body	not applicable	not available	not applicable	not available	Normal	not applicable	1	tissue	run 61	proteomic profiling by mass spectrometry	PXD004332	Pin_bRPLC_24_Fusion.raw	ftp://ftp.pride.ebi.ac.uk/pride-archive/2017/02/PXD004332/Pin_bRPLC_24_Fusion.raw	1	24	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	AC=MS:1002038;NT=label free sample	AC=MS:1002416;NT=Orbitrap Fusion	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-Term;MT=Variable	20 ppm	0.1 Da	AC=MS:1001251;NT=Trypsin	pineal body
