Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[cell line]	Characteristics[cell type]	Characteristics[sex]	Characteristics[disease]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[separation]	comment[gradient]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism part]	Factor Value[gradient]
Sample 8	Homo sapiens	tonsil	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 65	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr65.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr65.raw	1	65	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	tonsil	IPG3-10
Sample 9	Homo sapiens	tonsil	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 65	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr65.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr65.raw	1	65	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	tonsil	IPG3-10
Sample 10	Homo sapiens	not applicable	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 65	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr65.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr65.raw	1	65	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	not applicable	IPG3-10
Sample 1	Homo sapiens	placenta	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 66	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	1	66	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	placenta	IPG3-10
Sample 2	Homo sapiens	placenta	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 66	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	1	66	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	placenta	IPG3-10
Sample 3	Homo sapiens	placenta	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 66	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	1	66	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	placenta	IPG3-10
Sample 4	Homo sapiens	liver	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 66	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	1	66	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	liver	IPG3-10
Sample 5	Homo sapiens	liver	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 66	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	1	66	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	liver	IPG3-10
Sample 6	Homo sapiens	kidney	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 66	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	1	66	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	kidney	IPG3-10
Sample 7	Homo sapiens	kidney	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 66	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	1	66	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	kidney	IPG3-10
Sample 8	Homo sapiens	tonsil	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 66	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	1	66	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	tonsil	IPG3-10
Sample 9	Homo sapiens	tonsil	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 66	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	1	66	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	tonsil	IPG3-10
Sample 10	Homo sapiens	not applicable	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 66	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr66.raw	1	66	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	not applicable	IPG3-10
Sample 1	Homo sapiens	placenta	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 67	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	1	67	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	placenta	IPG3-10
Sample 2	Homo sapiens	placenta	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 67	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	1	67	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	placenta	IPG3-10
Sample 3	Homo sapiens	placenta	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 67	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	1	67	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	placenta	IPG3-10
Sample 4	Homo sapiens	liver	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 67	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	1	67	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	liver	IPG3-10
Sample 5	Homo sapiens	liver	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 67	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	1	67	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	liver	IPG3-10
Sample 6	Homo sapiens	kidney	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 67	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	1	67	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	kidney	IPG3-10
Sample 7	Homo sapiens	kidney	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 67	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	1	67	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	kidney	IPG3-10
Sample 8	Homo sapiens	tonsil	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 67	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	1	67	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	tonsil	IPG3-10
Sample 9	Homo sapiens	tonsil	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 67	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	1	67	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	tonsil	IPG3-10
Sample 10	Homo sapiens	not applicable	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 67	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr67.raw	1	67	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	not applicable	IPG3-10
Sample 1	Homo sapiens	placenta	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 68	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr68.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr68.raw	1	68	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	placenta	IPG3-10
Sample 2	Homo sapiens	placenta	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 68	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr68.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr68.raw	1	68	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	placenta	IPG3-10
Sample 3	Homo sapiens	placenta	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 68	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr68.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr68.raw	1	68	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	placenta	IPG3-10
Sample 4	Homo sapiens	liver	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 68	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr68.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr68.raw	1	68	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	liver	IPG3-10
Sample 5	Homo sapiens	liver	not available	not  available	not applicable	not applicable	not available	normal	1	tissue	run 68	proteomic profiling by mass spectrometry	NT=Immobilized pH Gradient Electrophoresis;AC=PRIDE:0000123	IPG3-10	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr68.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/01/PXD006291/HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr68.raw	1	68	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	liver	IPG3-10
