Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[treatment]	Characteristics[subcellular fractions]	Characteristics[biological replicate]	Characteristics[Individual]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[treatment]	Factor Value[subcellular fractions]
Sample 2	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Cytosol	1	donor1	cell	run 20	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	1	20	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Cytosol
Sample 3	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Cytosol	1	donor1	cell	run 20	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	1	20	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Cytosol
Sample 4	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Membrane and Organelles	1	donor1	cell	run 20	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	1	20	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Membrane and Organelles
Sample 5	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Membrane and Organelles	1	donor1	cell	run 20	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	1	20	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Membrane and Organelles
Sample 6	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Membrane and Organelles	1	donor1	cell	run 20	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	1	20	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Membrane and Organelles
Sample 7	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Nuclear	1	donor1	cell	run 20	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	1	20	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Nuclear
Sample 8	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Nuclear	1	donor1	cell	run 20	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	1	20	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Nuclear
Sample 9	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Nuclear	1	donor1	cell	run 20	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	1	20	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Nuclear
Sample 10	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	not applicable	not applicable	1	donor1	cell	run 20	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr20.raw	1	20	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	not applicable	not applicable
Sample 1	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Cytosol	1	donor1	cell	run 21	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	1	21	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Cytosol
Sample 2	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Cytosol	1	donor1	cell	run 21	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	1	21	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Cytosol
Sample 3	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Cytosol	1	donor1	cell	run 21	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	1	21	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Cytosol
Sample 4	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Membrane and Organelles	1	donor1	cell	run 21	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	1	21	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Membrane and Organelles
Sample 5	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Membrane and Organelles	1	donor1	cell	run 21	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	1	21	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Membrane and Organelles
Sample 6	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Membrane and Organelles	1	donor1	cell	run 21	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	1	21	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Membrane and Organelles
Sample 7	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Nuclear	1	donor1	cell	run 21	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	1	21	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Nuclear
Sample 8	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Nuclear	1	donor1	cell	run 21	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	1	21	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Nuclear
Sample 9	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Nuclear	1	donor1	cell	run 21	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	1	21	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Nuclear
Sample 10	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	not applicable	not applicable	1	donor1	cell	run 21	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr21.raw	1	21	TMT131	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	not applicable	not applicable
Sample 1	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Cytosol	1	donor1	cell	run 22	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	1	22	TMT126	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Cytosol
Sample 2	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Cytosol	1	donor1	cell	run 22	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	1	22	TMT127N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Cytosol
Sample 3	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Cytosol	1	donor1	cell	run 22	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	1	22	TMT127C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Cytosol
Sample 4	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Membrane and Organelles	1	donor1	cell	run 22	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	1	22	TMT128N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Membrane and Organelles
Sample 5	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Membrane and Organelles	1	donor1	cell	run 22	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	1	22	TMT128C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Membrane and Organelles
Sample 6	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Membrane and Organelles	1	donor1	cell	run 22	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	1	22	TMT129N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Membrane and Organelles
Sample 7	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	control	Nuclear	1	donor1	cell	run 22	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	1	22	TMT129C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	control	Nuclear
Sample 8	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	15min T cell receptor stimulation	Nuclear	1	donor1	cell	run 22	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	1	22	TMT130N	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	15min T cell receptor stimulation	Nuclear
Sample 9	Homo sapiens	CD4+ T cells	lymphocyte			normal	not available	not available	not available	60min T cell receptor stimulation	Nuclear	1	donor1	cell	run 22	proteomics profiling by mass spectrometry	Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD013284/Rubin_RJ15F3_20160901_donor1_QE_TMT10_175ugIPG3-10_7of15ul_fr22.raw	1	22	TMT130C	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=HCD;AC=PRIDE:0000590	30% NCE	10 ppm	0.03 Da	60min T cell receptor stimulation	Nuclear
