Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Characteristics[Individual]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Factor Value[organism part]	Factor Value[disease]
Sample 4	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP1	organism part	run 6	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_202_VIG_1404_pancreas_06.raw	2014_11_18_CAP_OT_202_VIG_1404_pancreas_06.raw	1	6	TMT129	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 5	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP2	organism part	run 6	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_202_VIG_1404_pancreas_06.raw	2014_11_18_CAP_OT_202_VIG_1404_pancreas_06.raw	1	6	TMT130	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 6	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP3	organism part	run 6	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_202_VIG_1404_pancreas_06.raw	2014_11_18_CAP_OT_202_VIG_1404_pancreas_06.raw	1	6	TMT131	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 1	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C1	organism part	run 7	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	1	7	TMT126	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 2	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C2	organism part	run 7	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	1	7	TMT127	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 3	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C3	organism part	run 7	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	1	7	TMT128	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 4	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP1	organism part	run 7	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	1	7	TMT129	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 5	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP2	organism part	run 7	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	1	7	TMT130	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 6	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP3	organism part	run 7	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	2014_11_18_CAP_OT_204_VIG_1404_pancreas_07.raw	1	7	TMT131	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 1	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C1	organism part	run 8	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	1	8	TMT126	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 2	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C2	organism part	run 8	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	1	8	TMT127	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 3	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C3	organism part	run 8	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	1	8	TMT128	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 4	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP1	organism part	run 8	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	1	8	TMT129	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 5	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP2	organism part	run 8	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	1	8	TMT130	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 6	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP3	organism part	run 8	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	2014_11_18_CAP_OT_205_VIG_1404_pancreas_08.raw	1	8	TMT131	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 1	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C1	organism part	run 9	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	1	9	TMT126	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 2	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C2	organism part	run 9	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	1	9	TMT127	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 3	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C3	organism part	run 9	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	1	9	TMT128	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 4	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP1	organism part	run 9	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	1	9	TMT129	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 5	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP2	organism part	run 9	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	1	9	TMT130	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 6	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP3	organism part	run 9	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	2014_11_18_CAP_OT_206_VIG_1404_pancreas_09.raw	1	9	TMT131	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 1	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C1	organism part	run 10	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	1	10	TMT126	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 2	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C2	organism part	run 10	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	1	10	TMT127	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 3	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C3	organism part	run 10	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	1	10	TMT128	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 4	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP1	organism part	run 10	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	1	10	TMT129	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 5	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP2	organism part	run 10	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	1	10	TMT130	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 6	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP3	organism part	run 10	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	2014_11_18_CAP_OT_207_VIG_1404_pancreas_10.raw	1	10	TMT131	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 1	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C1	organism part	run 11	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	1	11	TMT126	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 2	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C2	organism part	run 11	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	1	11	TMT127	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 3	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	control	not available	not available	not available	1	C3	organism part	run 11	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	1	11	TMT128	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	control
Sample 4	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP1	organism part	run 11	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	1	11	TMT129	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 5	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP2	organism part	run 11	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	1	11	TMT130	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
Sample 6	Rattus norvegicus	soluble fraction of pancreas	not applicable	not applicable	not available	acute pancreatitis	not available	not available	not available	1	AP3	organism part	run 11	proteomic profiling by mass spectrometry	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	2014_11_18_CAP_OT_208_VIG_1404_pancreas_11.raw	1	11	TMT131	NT=LTQ Orbitrap velos ;AC=MS:1001742	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=TMT6plex;AC=UNIMOD:737;MT=Fixed;TA=K	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	AC=MS:1001251;NT=Trypsin	NT=CID;AC=PRIDE:0000591	35% NCE	10 ppm	0.03 Da	soluble fraction of pancreas	acute pancreatitis
