source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[phenotype]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material Type	assay name	Technology Type	comment[label]	comment[file uri]	comment[instrument]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD006675-Sample-SingleShot-37	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 601	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_RAurea1_160504154329.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_RAurea1_160504154329.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-38	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 602	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_RAurea2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_RAurea2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-39	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 603	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_RAurea3.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_RAurea3.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-40	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 604	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_SA.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_SA.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-41	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 605	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160502_QEp4_SoDo_SA_LC12_Tri.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160502_QEp4_SoDo_SA_LC12_Tri.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-42	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	A17T1	1	tissue	run 606	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160511_QEp3_SoDo_SA_Easy12_7_A17T1_SAbis.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160511_QEp3_SoDo_SA_Easy12_7_A17T1_SAbis.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-43	Homo sapiens	heart	not available	male	not available	AV	adult	not available	trauma victims	not available	1	tissue	run 607	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160511_QEp3_SoDo_SA_Easy12_7_AVbis.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160511_QEp3_SoDo_SA_Easy12_7_AVbis.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-44	Homo sapiens	heart	not available	male	not available	LA	adult	not available	trauma victims	not available	1	tissue	run 50	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_LA3.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_LA3.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-45	Homo sapiens	heart	not available	male	not available	LA	adult	not available	trauma victims	not available	1	tissue	run 59	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_LA4.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_LA4.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-46	Homo sapiens	heart	not available	male	not available	LA	adult	not available	trauma victims	not available	1	tissue	run 68	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_LA8.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_LA8.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-47	Homo sapiens	heart	not available	male	not available	LV	adult	not available	trauma victims	not available	1	tissue	run 77	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_LV3.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_LV3.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-48	Homo sapiens	heart	not available	male	not available	LV	adult	not available	trauma victims	not available	1	tissue	run 86	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_LV4.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_LV4.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-49	Homo sapiens	heart	not available	male	not available	LV	adult	not available	trauma victims	not available	1	tissue	run 95	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_LV8.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_LV8.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-50	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 104	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA3_160724194752.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA3_160724194752.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-51	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 106	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA3singleShot_1%1_160722112907.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA3singleShot_1%1_160722112907.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-52	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 105	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA3singleShot_1%1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA3singleShot_1%1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-53	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 107	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA3singleShot_20%1_160722090952.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA3singleShot_20%1_160722090952.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-54	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 108	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA4-1%gradient.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA4-1%gradient.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-55	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 117	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA4.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA4.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-56	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 126	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA8.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA8.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-57	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 127	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_1%1ul.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_1%1ul.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-58	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 128	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_1%1ul2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_1%1ul2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-59	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 129	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_20%1ul.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_20%1ul.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-60	Homo sapiens	heart	not available	male	not available	RA	adult	not available	trauma victims	not available	1	tissue	run 130	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_20%1ul2.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RA8singleShot_20%1ul2.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-61	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 139	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RV3.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RV3.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-62	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 140	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RV3cleaned.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RV3cleaned.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-63	Homo sapiens	heart	not available	male	not available	RV	adult	not available	trauma victims	not available	1	tissue	run 149	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160721_QEp2_SoDo_SA_LC12-13_RV4_160731142828.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160721_QEp2_SoDo_SA_LC12-13_RV4_160731142828.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-64	Homo sapiens	heart	not available	male	AF	not available	adult	not available	trauma victims	not available	1	cell	run 523	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160901_QEp2_SoDo_SA_LC12-13_AFcells-frac8.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160802_QEp2_SoDo_SA_LC12-13_AFcells.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-65	Homo sapiens	heart	not available	male	not available	Ao	adult	not available	trauma victims	not available	1	tissue	run 191	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160802_QEp2_SoDo_SA_LC12-13_Ao3.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160802_QEp2_SoDo_SA_LC12-13_Ao3.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-66	Homo sapiens	heart	not available	male	not available	Ao	adult	not available	trauma victims	not available	1	tissue	run 192	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160802_QEp2_SoDo_SA_LC12-13_Ao4-frac1.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160802_QEp2_SoDo_SA_LC12-13_Ao4-frac1.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-67	Homo sapiens	heart	not available	male	not available	Ao	adult	not available	trauma victims	not available	1	tissue	run 193	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160802_QEp2_SoDo_SA_LC12-13_Ao4bis.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160802_QEp2_SoDo_SA_LC12-13_Ao4bis.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-68	Homo sapiens	heart	not available	male	not available	Ao	adult	not available	trauma victims	not available	1	tissue	run 202	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160802_QEp2_SoDo_SA_LC12-13_Ao8.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160802_QEp2_SoDo_SA_LC12-13_Ao8.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-69	Homo sapiens	heart	not available	male	not available	AV	adult	not available	trauma victims	not available	1	tissue	run 164	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160802_QEp2_SoDo_SA_LC12-13_AV3.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160802_QEp2_SoDo_SA_LC12-13_AV3.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-70	Homo sapiens	heart	not available	male	not available	AV	adult	not available	trauma victims	not available	1	tissue	run 173	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160802_QEp2_SoDo_SA_LC12-13_AV4.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160802_QEp2_SoDo_SA_LC12-13_AV4.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-71	Homo sapiens	heart	not available	male	not available	AV	adult	not available	trauma victims	not available	1	tissue	run 182	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160802_QEp2_SoDo_SA_LC12-13_AV8.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160802_QEp2_SoDo_SA_LC12-13_AV8.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
PXD006675-Sample-SingleShot-72	Homo sapiens	heart	not available	male	not available	not available	adult	not available	trauma victims	not available	1	tissue	run 211	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/11/PXD006675/20160802_QEp2_SoDo_SA_LC12-13_CP3.raw	NT=Q Exactive HF;AC=MS:1002523	1	1	20160802_QEp2_SoDo_SA_LC12-13_CP3.raw	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Acetyl;AC=UNIMOD:1;PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	4.5 ppm	20 ppm	heart
