Number 1,Dataset,Pnumber,Cellline,Rawfile,Name,PX Accession,intrument,,00523_D02_P003815_B0L_A00_R1.RAW,PXD005940
260,full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_D06_P001564_B00H_A00_R1.RAW,MCF-7/adr cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000120_A03_P000708_B00_A00_R1.RAW,PXD005942
261,full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_E05_P001564_B00A_A00_R1.RAW,MCF-7/adr cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_D02_P000813_B00_A00_R1.RAW,PXD005942
262,full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_F05_P001564_B00B_A00_R1.RAW,MCF-7/adr cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000194_B01_P0001135_B00_A00_R1.RAW,PXD005942
263,full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_B06_P001564_B00F_A00_R1.RAW,MCF-7/adr cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_H03_P000818_B00_A00_R1.RAW,PXD005942
264,full proteome of 59 cell lines,P001564,MCF-7/AdrR,00261_A06_P001564_B00E_A00_R1.RAW,MCF-7/adr cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_F02_P000811_B00_A00_R1.RAW,PXD005942
265,full proteome of 59 cell lines,P001565,HT-29,00261_B08_P001565_B00J_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000120_B01_P000705_B00_A00_R1.RAW,PXD005942
266,full proteome of 59 cell lines,P001565,HT-29,00261_C08_P001565_B00K_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000194_E01_P0001138_B00_A00_R2.RAW,PXD005942
267,full proteome of 59 cell lines,P001565,HT-29,00261_A07_P001565_B00A_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_H01_P000817_B00_A00_R1.RAW,PXD005942
268,full proteome of 59 cell lines,P001565,HT-29,00261_D07_P001565_B00D_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_E02_P000812_B00_A00_R1.RAW,PXD005942
269,full proteome of 59 cell lines,P001565,HT-29,00261_E07_P001565_B00E_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000132_B03_P000824_B00_A00_R1.RAW,PXD005942
270,full proteome of 59 cell lines,P001565,HT-29,00261_G07_P001565_B00G_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000124_A03_P000755_B00_A00_R3.RAW,PXD005942
271,full proteome of 59 cell lines,P001565,HT-29,00261_B07_P001565_B00B_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000120_H02_P000709_B00_A00_R1.RAW,PXD005942
272,full proteome of 59 cell lines,P001565,HT-29,00261_H07_P001565_B00H_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000120_G01_P000700_B00_A00_R1.RAW,PXD005942
273,full proteome of 59 cell lines,P001565,HT-29,00261_A08_P001565_B00I_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000124_C01_P000748_B00_A00_R1.RAW,PXD005942
274,full proteome of 59 cell lines,P001565,HT-29,00261_F07_P001565_B00F_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000120_F02_P000711_B00_A00_R1.RAW,PXD005942
275,full proteome of 59 cell lines,P001565,HT-29,00261_C07_P001565_B00C_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_G02_P003359_B00C_A00_R1.RAW,PXD005946
276,full proteome of 59 cell lines,P001565,HT-29,00261_D08_P001565_B00L_A00_R1.RAW,HT-29 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00256_E06_P001567_B00I_A00_R1.RAW,PXD005946
277,full proteome of 59 cell lines,P001566,H226,00256_A07_P001566_B00A_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_H02_P001897_B00D_A00_R1.RAW,PXD005946
278,full proteome of 59 cell lines,P001566,H226,00256_B07_P001566_B00B_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_A08_P003364_B00I_A00_R1.RAW,PXD005946
279,full proteome of 59 cell lines,P001566,H226,00256_G07_P001566_B00G_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000279_A05_P001744_A00_B00I_R1.RAW,PXD005946
280,full proteome of 59 cell lines,P001566,H226,00256_A08_P001566_B00I_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00279_H02_P001745_B00D_A00_R1.RAW,PXD005946
281,full proteome of 59 cell lines,P001566,H226,00256_H07_P001566_B00H_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00287_A07_P001747_B00A_A00_R1.RAW,PXD005946
282,full proteome of 59 cell lines,P001566,H226,00256_E07_P001566_B00E_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000297_C07_P001892_A00_B00C_R1.RAW,PXD005946
283,full proteome of 59 cell lines,P001566,H226,00256_D08_P001566_B00L_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00469_E05_P003376_B00G_A00_R1.RAW,PXD005946
284,full proteome of 59 cell lines,P001566,H226,00256_C08_P001566_B00K_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00296_A03_P001905_B00E_A00_R1.RAW,PXD005946
285,full proteome of 59 cell lines,P001566,H226,00256_B08_P001566_B00J_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_D08_P001356_B00L_A00_R1.RAW,PXD005946
286,full proteome of 59 cell lines,P001566,H226,00256_F07_P001566_B00F_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000256_A05_P0001568_A00_B00I_R1.RAW,PXD005946
287,full proteome of 59 cell lines,P001566,H226,00256_C07_P001566_B00C_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_F04_P003197_B00F_A00_R1.RAW,PXD005946
288,full proteome of 59 cell lines,P001566,H226,00256_D07_P001566_B00D_A00_R1.RAW,NCI-H226 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_D11_P003362_B00L_A00_R1.RAW,PXD005946
289,full proteome of 59 cell lines,P001567,RXF-393,00256_A06_P001567_B00E_A00_R1.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00287_E07_P001747_B00E_A00_R1.RAW,PXD005946
290,full proteome of 59 cell lines,P001567,RXF-393,00256_H06_P001567_B00L_A00_R1.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000297_D08_P001892_A00_B00L_R1.RAW,PXD005946
291,full proteome of 59 cell lines,P001567,RXF-393,00256_H05_P001567_B00D_A00_R1.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_C01_P003360_B00C_A00_R1.RAW,PXD005946
292,full proteome of 59 cell lines,P001567,RXF-393,00256_G05_P001567_B00C_A00_R1.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_D02_P001561_B00L_A00_R1.RAW,PXD005946
293,full proteome of 59 cell lines,P001567,RXF-393,00256_C06_P001567_B00G_A00_R1.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_C12_P003361_B00G_A00_R1.RAW,PXD005946
294,full proteome of 59 cell lines,P001567,RXF-393,00256_B06_P001567_B00F_A00_R1.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00471_G01_P003383_B00G_A00_R2.RAW,PXD005946
295,full proteome of 59 cell lines,P001567,RXF-393,00256_F06_P001567_B00J_A00_R1.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00287_B04_P001749_B00B_A00_R1.RAW,PXD005946
296,full proteome of 59 cell lines,P001567,RXF-393,00256_F05_P001567_B00B_A00_R2.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00279_C03_P001745_B00G_A00_R1.RAW,PXD005946
297,full proteome of 59 cell lines,P001567,RXF-393,00256_G06_P001567_B00K_A00_R1.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00297_G05_P001891_B00C_A00_R1.RAW,PXD005946
298,full proteome of 59 cell lines,P001567,RXF-393,00256_D06_P001567_B00H_A00_R1.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_B10_P003201_B00B_A00_R1.RAW,PXD005946
299,full proteome of 59 cell lines,P001567,RXF-393,00256_E05_P001567_B00A_A00_R2.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_B08_P003199_B00J_A00_R1.RAW,PXD005946
300,full proteome of 59 cell lines,P001567,RXF-393,00256_E06_P001567_B00I_A00_R1.RAW,RXF-393 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00483_A01_P003487_B00A_A00_R2.RAW,PXD005946
301,full proteome of 59 cell lines,P001569,U-251,00256_E02_P001569_B00A_A00_R2.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00296_C05_P001906_B00K_A00_R2.RAW,PXD005946
302,full proteome of 59 cell lines,P001569,U-251,00256_B03_P001569_B00F_A00_R1.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_F07_P001387_B00C_A00_R1.RAW,PXD005946
303,full proteome of 59 cell lines,P001569,U-251,00256_A03_P001569_B00E_A00_R1.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_B03_P001897_B00F_A00_R1.RAW,PXD005946
304,full proteome of 59 cell lines,P001569,U-251,00256_G02_P001569_B00C_A00_R1.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00256_B06_P001567_B00F_A00_R1.RAW,PXD005946
305,full proteome of 59 cell lines,P001569,U-251,00256_C03_P001569_B00G_A00_R1.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_D08_P001387_B00I_A00_R1.RAW,PXD005946
306,full proteome of 59 cell lines,P001569,U-251,00256_H02_P001569_B00D_A00_R1.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_F06_P001388_B00G_A00_R1.RAW,PXD005946
307,full proteome of 59 cell lines,P001569,U-251,00256_D03_P001569_B00H_A00_R1.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_G04_P003820_B00G_A00_R1.RAW,PXD005946
308,full proteome of 59 cell lines,P001569,U-251,00256_F02_P001569_B00B_A00_R2.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_C07_P003207_B00C_A00_R1.RAW,PXD005946
309,full proteome of 59 cell lines,P001569,U-251,00256_G03_P001569_B00K_A00_R1.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_A04_P003197_B00A_A00_R2.RAW,PXD005946
310,full proteome of 59 cell lines,P001569,U-251,00256_E03_P001569_B00I_A00_R1.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_F07_P003208_B00B_A00_R1.RAW,PXD005946
311,full proteome of 59 cell lines,P001569,U-251,00256_H03_P001569_B00L_A00_R1.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_E05_P001899_B00A_A00_R1.RAW,PXD005946
312,full proteome of 59 cell lines,P001569,U-251,00256_F03_P001569_B00J_A00_R1.RAW,U-251 MG cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000279_C04_P001744_A00_B00C_R1.RAW,PXD005946
313,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_D01_P001570_B00D_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_H10_P003362_B00H_A00_R1.RAW,PXD005946
314,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_F01_P001570_B00F_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00297_H06_P001891_B00L_A00_R1.RAW,PXD005946
315,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_B01_P001570_B00B_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_D08_P003364_B00L_A00_R1.RAW,PXD005946
316,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_A02_P001570_B00I_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_A08_P003207_B00I_A00_R1.RAW,PXD005946
317,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_E01_P001570_B00E_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00524_C05_P003820_B00K_A00_R1.RAW,PXD005946
318,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_C01_P001570_B00C_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_D07_P001565_B00D_A00_R1.RAW,PXD005946
319,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_B02_P001570_B00J_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_C01_P0001751_A00_B00C_R1.RAW,PXD005946
320,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_H01_P001570_B00H_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00471_G04_P003381_B00G_A00_R1.RAW,PXD005946
321,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_G01_P001570_B00G_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_G01_P003360_B00G_A00_R1.RAW,PXD005946
322,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_C02_P001570_B00K_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00296_G03_P001905_B00K_A00_R1.RAW,PXD005946
323,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_A01_P001570_B00A_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_C10_P001386_B00L_A00_R1.RAW,PXD005946
324,full proteome of 59 cell lines,P001570,SK-MEL-5,00256_D02_P001570_B00L_A00_R1.RAW,SK-MEL-5 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000261_C05_P0001563_A00_B00K_R1.RAW,PXD005946
325,full proteome of 59 cell lines,P001744,SKOV-3,000279_H04_P001744_A00_B00H_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_D04_P003197_B00D_A00_R1.RAW,PXD005946
326,full proteome of 59 cell lines,P001744,SKOV-3,000279_B05_P001744_A00_B00J_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_B09_P001355_B00F_A00_R1.RAW,PXD005946
327,full proteome of 59 cell lines,P001744,SKOV-3,000279_C04_P001744_A00_B00C_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_E05_P003357_B00A_A00_R1.RAW,PXD005946
328,full proteome of 59 cell lines,P001744,SKOV-3,000279_F04_P001744_A00_B00F_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_G06_P001564_B00K_A00_R1.RAW,PXD005946
329,full proteome of 59 cell lines,P001744,SKOV-3,000279_B04_P001744_A00_B00B_R2.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00471_C05_P003381_B00K_A00_R1.RAW,PXD005946
330,full proteome of 59 cell lines,P001744,SKOV-3,000279_A04_P001744_A00_B00A_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00469_G05_P003376_B00I_A00_R1.RAW,PXD005946
331,full proteome of 59 cell lines,P001744,SKOV-3,000279_C05_P001744_A00_B00K_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_G04_P003358_B00G_A00_R1.RAW,PXD005946
332,full proteome of 59 cell lines,P001744,SKOV-3,000279_A05_P001744_A00_B00I_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_A05_P003205_B00I_A00_R1.RAW,PXD005946
333,full proteome of 59 cell lines,P001744,SKOV-3,000279_G04_P001744_A00_B00G_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_C03_P001390_B00D_A00_R1.RAW,PXD005946
334,full proteome of 59 cell lines,P001744,SKOV-3,000279_D04_P001744_A00_B00D_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_G07_P001356_B00G_A00_R1.RAW,PXD005946
335,full proteome of 59 cell lines,P001744,SKOV-3,000279_D05_P001744_A00_B00L_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_D04_P003205_B00D_A00_R1.RAW,PXD005946
336,full proteome of 59 cell lines,P001744,SKOV-3,000279_E04_P001744_A00_B00E_R1.RAW,SKOV-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00471_H04_P003381_B00H_A00_R1.RAW,PXD005946
337,full proteome of 59 cell lines,P001745,DU-145,00279_F02_P001745_B00B_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00483_C02_P003487_B00K_A00_R2.RAW,PXD005946
338,full proteome of 59 cell lines,P001745,DU-145,00279_H03_P001745_B00L_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00256_D02_P001570_B00L_A00_R1.RAW,PXD005946
339,full proteome of 59 cell lines,P001745,DU-145,00279_G02_P001745_B00C_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_G05_P001564_B00C_A00_R1.RAW,PXD005946
340,full proteome of 59 cell lines,P001745,DU-145,00279_D03_P001745_B00H_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_F01_P003360_B00F_A00_R1.RAW,PXD005946
341,full proteome of 59 cell lines,P001745,DU-145,00279_E03_P001745_B00I_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_B07_P001565_B00B_A00_R1.RAW,PXD005946
342,full proteome of 59 cell lines,P001745,DU-145,00279_H02_P001745_B00D_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00483_F01_P003487_B00F_A00_R1.RAW,PXD005946
343,full proteome of 59 cell lines,P001745,DU-145,00279_E02_P001745_B00A_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_H07_P003207_B00H_A00_R1.RAW,PXD005946
344,full proteome of 59 cell lines,P001745,DU-145,00279_F03_P001745_B00J_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_F05_P001564_B00B_A00_R1.RAW,PXD005946
345,full proteome of 59 cell lines,P001745,DU-145,00279_A03_P001745_B00E_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00279_B03_P001745_B00F_A00_R1.RAW,PXD005946
346,full proteome of 59 cell lines,P001745,DU-145,00279_G03_P001745_B00K_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00469_C05_P003376_B00E_A00_R1.RAW,PXD005946
347,full proteome of 59 cell lines,P001745,DU-145,00279_C03_P001745_B00G_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_G08_P003363_B00C_A00_R1.RAW,PXD005946
348,full proteome of 59 cell lines,P001745,DU-145,00279_B03_P001745_B00F_A00_R1.RAW,DU-145 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_B06_P003357_B00F_A00_R2.RAW,PXD005946
349,full proteome of 59 cell lines,P001747,OVCAR-3,00287_E07_P001747_B00E_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_A09_P001386_B00B_A00_R1.RAW,PXD005946
350,full proteome of 59 cell lines,P001747,OVCAR-3,00287_B07_P001747_B00B_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_A07_P003364_B00A_A00_R1.RAW,PXD005946
351,full proteome of 59 cell lines,P001747,OVCAR-3,00287_H07_P001747_B00H_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00287_B07_P001747_B00B_A00_R1.RAW,PXD005946
352,full proteome of 59 cell lines,P001747,OVCAR-3,00287_G07_P001747_B00G_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_D11_P003201_B00L_A00_R1.RAW,PXD005946
353,full proteome of 59 cell lines,P001747,OVCAR-3,00287_A08_P001747_B00I_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_G12_P001903_B00K_A00_R1.RAW,PXD005946
354,full proteome of 59 cell lines,P001747,OVCAR-3,00287_B08_P001747_B00J_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00483_G01_P003487_B00G_A00_R2.RAW,PXD005946
355,full proteome of 59 cell lines,P001747,OVCAR-3,00287_F07_P001747_B00F_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00463_D07_P003364_B00D_A00_R2.RAW,PXD005946
356,full proteome of 59 cell lines,P001747,OVCAR-3,00287_C07_P001747_B00C_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_H04_P001389_B00E_A00_R1.RAW,PXD005946
357,full proteome of 59 cell lines,P001747,OVCAR-3,00287_D08_P001747_B00L_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_B07_P003199_B00B_A00_R1.RAW,PXD005946
358,full proteome of 59 cell lines,P001747,OVCAR-3,00287_C08_P001747_B00K_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_H09_P001355_B00L_A00_R1.RAW,PXD005946
359,full proteome of 59 cell lines,P001747,OVCAR-3,00287_A07_P001747_B00A_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000287_A01_P0001751_A00_B00A_R2.RAW,PXD005946
360,full proteome of 59 cell lines,P001747,OVCAR-3,00287_D07_P001747_B00D_A00_R1.RAW,OVCAR-3 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00442_D08_P003208_B00H_A00_R1.RAW,PXD005946
361,full proteome of 59 cell lines,P001748,IGROV-1,000287_B06_P001748_B00F_A00_R1.RAW,IGROV-1 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00441_E05_P003198_B00A_A00_R2.RAW,PXD005946
362,full proteome of 59 cell lines,P001748,IGROV-1,000287_H06_P001748_B00L_A00_R1.RAW,IGROV-1 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00261_A07_P001565_B00A_A00_R1.RAW,PXD005946
363,full proteome of 59 cell lines,P001748,IGROV-1,000287_H05_P001748_B00D_A00_R1.RAW,IGROV-1 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00296_C03_P001905_B00G_A00_R1.RAW,PXD005946
364,full proteome of 59 cell lines,P001748,IGROV-1,000287_F06_P001748_B00J_A00_R1.RAW,IGROV-1 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000228_B04_P001358_B00B_A00_R1.RAW,PXD005946
365,full proteome of 59 cell lines,P001748,IGROV-1,000287_F05_P001748_B00B_A00_R1.RAW,IGROV-1 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_E06_P001388_B00F_A00_R1.RAW,PXD005946
366,full proteome of 59 cell lines,P001748,IGROV-1,000287_E06_P001748_B00I_A00_R1.RAW,IGROV-1 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_A12_P001903_B00E_A00_R1.RAW,PXD005946
367,full proteome of 59 cell lines,P001748,IGROV-1,000287_G06_P001748_B00K_A00_R1.RAW,IGROV-1 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,00298_G02_P001897_B00C_A00_R1.RAW,PXD005946
368,full proteome of 59 cell lines,P001748,IGROV-1,000287_G05_P001748_B00C_A00_R1.RAW,IGROV-1 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_D06_P001388_B00E_A00_R1.RAW,PXD005946
369,full proteome of 59 cell lines,P001748,IGROV-1,000287_A06_P001748_B00E_A00_R1.RAW,IGROV-1 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_C08_P001387_B00H_A00_R1.RAW,PXD005946
370,full proteome of 59 cell lines,P001748,IGROV-1,000287_C06_P001748_B00G_A00_R1.RAW,IGROV-1 cell,PXD005946,AC=MS:1000639;NM=LTQ Orbitrap XL ETD,,000234_B08_P001387_B00G_A00_R1.RAW,PXD005946
