Source Name	Characteristics [CellLine]	Term Source REF	Term Accession Number	Characteristics [CellLineage]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [CellMassMorphology]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [CellLine]	Term Source REF	Term Accession Number	Factor Value [GrowthCondition]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
CAMA1	CAMA1	EFO	EFO_0001100	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	CAMA1	P-TABM-1453	CAMA1	total_RNA	P-TABM-1454	CAMA1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mb_CAMA1	A-AFFY-33	P-AFFY-6	CAMA1	EFO	EFO_0001100	3D gel	mb_CAMA1	56_3D.CAMA1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T4-2	T4-2	  	  	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	T4-2	P-TABM-1453	T4-2	total_RNA	P-TABM-1454	T4-2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T4_2D_POP0_C12	A-AFFY-76	P-AFFY-6	T4-2	  	  	2D gel	T4_2D_POP0_C12	031004_LBLPOP_321521.C12_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB231	MDAMB231	EFO	EFO_0001209	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	MDAMB231	P-TABM-1453	MDAMB231	total_RNA	P-TABM-1454	MDAMB231 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB231_3D_POP4_D07	A-AFFY-76	P-AFFY-6	MDAMB231	EFO	EFO_0001209	3D gel	MDAMB231_3D_POP4_D07	So_A010505_412346_96_3.D07_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HCC70	HCC70	EFO	EFO_0001181	Basal A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	HCC70	P-TABM-1453	HCC70	total_RNA	P-TABM-1454	HCC70 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_HCC70	A-AFFY-33	P-AFFY-6	HCC70	EFO	EFO_0001181	2D gel	cl51_HCC70	02.HCC70.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
S1	S1	EFO	EFO_0002078	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	S1	P-TABM-1453	S1	total_RNA	P-TABM-1454	S1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	S1_2D_HTA7_B05	A-AFFY-76	P-AFFY-6	S1	EFO	EFO_0002078	2D gel	S1_2D_HTA7_B05	05202784005645111904241083.B05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
ZR751	ZR751	EFO	EFO_0001262	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	ZR751	P-TABM-1453	ZR751	total_RNA	P-TABM-1454	ZR751 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_ZR751	A-AFFY-33	P-AFFY-6	ZR751	EFO	EFO_0001262	2D gel	cl51_ZR751	035.ZR75.1.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB231	MDAMB231	EFO	EFO_0001209	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	MDAMB231	P-TABM-1453	MDAMB231	total_RNA	P-TABM-1454	MDAMB231 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB231_3D_HTA12_B10	A-AFFY-76	P-AFFY-6	MDAMB231	EFO	EFO_0001209	3D gel	MDAMB231_3D_HTA12_B10	05113724012696080305.B10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
SKBR3	SKBR3	EFO	EFO_0001236	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	SKBR3	P-TABM-1453	SKBR3	total_RNA	P-TABM-1454	SKBR3 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SKBR3_2D_POP0_F12	A-AFFY-76	P-AFFY-6	SKBR3	EFO	EFO_0001236	2D gel	SKBR3_2D_POP0_F12	031004_LBLPOP_321521.F12_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
HCC1569	HCC1569	EFO	EFO_0001173	Basal A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	HCC1569	P-TABM-1453	HCC1569	total_RNA	P-TABM-1454	HCC1569 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	HCC1569_3D_HTA7_D09	A-AFFY-76	P-AFFY-6	HCC1569	EFO	EFO_0001173	3D gel	HCC1569_3D_HTA7_D09	05202784005645111904241083.D09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB361	MDAMB361	EFO	EFO_0001211	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	MDAMB361	P-TABM-1453	MDAMB361	total_RNA	P-TABM-1454	MDAMB361 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_MDAMB361	A-AFFY-33	P-AFFY-6	MDAMB361	EFO	EFO_0001211	2D gel	cl51_MDAMB361	08.MDA.MB361.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB415	MDAMB415	EFO	EFO_0001212	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1451	MDAMB415	P-TABM-1453	MDAMB415	total_RNA	P-TABM-1454	MDAMB415 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_MDAMB415	A-AFFY-33	P-AFFY-6	MDAMB415	EFO	EFO_0001212	2D gel	cl51_MDAMB415	030.MDA.MB415.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB453	MDAMB453	EFO	EFO_0001215	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	MDAMB453	P-TABM-1453	MDAMB453	total_RNA	P-TABM-1454	MDAMB453 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB453_2D_POP6_C10	A-AFFY-76	P-AFFY-6	MDAMB453	EFO	EFO_0001215	2D gel	MDAMB453_2D_POP6_C10	So_A032305_4006409_284_96_LBNL.C10_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
S1	S1	EFO	EFO_0002078	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1452	S1	P-TABM-1453	S1	total_RNA	P-TABM-1454	S1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	S1_2D_POP4_D02	A-AFFY-76	P-AFFY-6	S1	EFO	EFO_0002078	2D gel	S1_2D_POP4_D02	So_A010505_412346_96_3.D02_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T4-2	T4-2	  	  	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	T4-2	P-TABM-1453	T4-2	total_RNA	P-TABM-1454	T4-2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T4_3D_HTA12_A09	A-AFFY-76	P-AFFY-6	T4-2	  	  	3D gel	T4_3D_HTA12_A09	05113724012696080305.A09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
AU565	AU565	EFO	EFO_0001087	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	P-TABM-1451	AU565	P-TABM-1453	AU565	total_RNA	P-TABM-1454	AU565 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	AU565_2D_POP6_B07	A-AFFY-76	P-AFFY-6	AU565	EFO	EFO_0001087	2D gel	AU565_2D_POP6_B07	So_A032305_4006409_284_96_LBNL.B07_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB453	MDAMB453	EFO	EFO_0001215	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	MDAMB453	P-TABM-1453	MDAMB453	total_RNA	P-TABM-1454	MDAMB453 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB453_3D_HTA12_A11	A-AFFY-76	P-AFFY-6	MDAMB453	EFO	EFO_0001215	3D gel	MDAMB453_3D_HTA12_A11	05113724012696080305.A11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
SUM44PE	SUM44PE	EFO	EFO_0001245	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	P-TABM-1451	SUM44PE	P-TABM-1453	SUM44PE	total_RNA	P-TABM-1454	SUM44PE biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_SUM44PE	A-AFFY-33	P-AFFY-6	SUM44PE	EFO	EFO_0001245	2D gel	cl51_SUM44PE	037.SUM.44PE.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
UACC812	UACC812	EFO	EFO_0001258	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	UACC812	P-TABM-1453	UACC812	total_RNA	P-TABM-1454	UACC812 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	UACC812_2D_POP6_D10	A-AFFY-76	P-AFFY-6	UACC812	EFO	EFO_0001258	2D gel	UACC812_2D_POP6_D10	So_A032305_4006409_284_96_LBNL.D10_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT474	BT474	EFO	EFO_0001093	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	BT474	P-TABM-1453	BT474	total_RNA	P-TABM-1454	BT474 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT474_2D_POP6_B10	A-AFFY-76	P-AFFY-6	BT474	EFO	EFO_0001093	2D gel	BT474_2D_POP6_B10	So_A032305_4006409_284_96_LBNL.B10_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MCF12A	MCF12A	EFO	EFO_0001202	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1451	MCF12A	P-TABM-1453	MCF12A	total_RNA	P-TABM-1454	MCF12A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_MCF12A	A-AFFY-33	P-AFFY-6	MCF12A	EFO	EFO_0001202	2D gel	cl51_MCF12A	07.MCF.12A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
UACC812	UACC812	EFO	EFO_0001258	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	UACC812	P-TABM-1453	UACC812	total_RNA	P-TABM-1454	UACC812 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	UACC812_3D_HTA12_D11	A-AFFY-76	P-AFFY-6	UACC812	EFO	EFO_0001258	3D gel	UACC812_3D_HTA12_D11	05113724012696080305.D11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
UACC812	UACC812	EFO	EFO_0001258	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	UACC812	P-TABM-1453	UACC812	total_RNA	P-TABM-1454	UACC812 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	UACC812_2D_POP0_E12	A-AFFY-76	P-AFFY-6	UACC812	EFO	EFO_0001258	2D gel	UACC812_2D_POP0_E12	031004_LBLPOP_321521.E12_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MCF7	MCF7	  	  	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	MCF7	P-TABM-1453	MCF7	total_RNA	P-TABM-1454	MCF7 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MCF7_3D_POP4_D05	A-AFFY-76	P-AFFY-6	MCF7	  	  	3D gel	MCF7_3D_POP4_D05	So_A010505_412346_96_3.D05_v4.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT474	BT474	EFO	EFO_0001093	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1451	BT474	P-TABM-1453	BT474	total_RNA	P-TABM-1454	BT474 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT474_2D_POP0_H08	A-AFFY-76	P-AFFY-6	BT474	EFO	EFO_0001093	2D gel	BT474_2D_POP0_H08	031004_LBLPOP_321521.H08_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MCF12A	MCF12A	EFO	EFO_0001202	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1451	MCF12A	P-TABM-1453	MCF12A	total_RNA	P-TABM-1454	MCF12A biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mb_MCF12A	A-AFFY-33	P-AFFY-6	MCF12A	EFO	EFO_0001202	3D gel	mb_MCF12A	58_3D.MCF12A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T4-2	T4-2	  	  	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	T4-2	P-TABM-1453	T4-2	total_RNA	P-TABM-1454	T4-2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T4_3D_HTA12_A05	A-AFFY-76	P-AFFY-6	T4-2	  	  	3D gel	T4_3D_HTA12_A05	05113724012696080305.A05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.1.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB231	MDAMB231	EFO	EFO_0001209	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	MDAMB231	P-TABM-1453	MDAMB231	total_RNA	P-TABM-1454	MDAMB231 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	cl51_MDAMB231	A-AFFY-33	P-AFFY-6	MDAMB231	EFO	EFO_0001209	2D gel	cl51_MDAMB231	10.MDAMB.231.U133A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
ZR751	ZR751	EFO	EFO_0001262	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	ZR751	P-TABM-1453	ZR751	total_RNA	P-TABM-1454	ZR751 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	ZR751_2D_POP0_E08	A-AFFY-76	P-AFFY-6	ZR751	EFO	EFO_0001262	2D gel	ZR751_2D_POP0_E08	031004_LBLPOP_321521.E08_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
T4-2	T4-2	  	  	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Mass	P-TABM-1452	T4-2	P-TABM-1453	T4-2	total_RNA	P-TABM-1454	T4-2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	T4_2D_HTA12_F02	A-AFFY-76	P-AFFY-6	T4-2	  	  	2D gel	T4_2D_HTA12_F02	05113724012696080305.F02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB415	MDAMB415	EFO	EFO_0001212	Luminal	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Round	P-TABM-1451	MDAMB415	P-TABM-1453	MDAMB415	total_RNA	P-TABM-1454	MDAMB415 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB415_3D_HTA7_E09	A-AFFY-76	P-AFFY-6	MDAMB415	EFO	EFO_0001212	3D gel	MDAMB415_3D_HTA7_E09	05202784005645111904241083.E09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
BT549	BT549	EFO	EFO_0001096	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Stellate	P-TABM-1451	BT549	P-TABM-1453	BT549	total_RNA	P-TABM-1454	BT549 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	BT549_2D_POP0_E04	A-AFFY-76	P-AFFY-6	BT549	EFO	EFO_0001096	2D gel	BT549_2D_POP0_E04	031004_LBLPOP_321521.E04_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
SUM44PE	SUM44PE	EFO	EFO_0001245	Basal B	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	  	P-TABM-1451	SUM44PE	P-TABM-1453	SUM44PE	total_RNA	P-TABM-1454	SUM44PE biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	SUM44PE_2D_POP0_F08	A-AFFY-76	P-AFFY-6	SUM44PE	EFO	EFO_0001245	2D gel	SUM44PE_2D_POP0_F08	031004_LBLPOP_321521.F08_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
MDAMB468	MDAMB468	EFO	EFO_0001216	Basal A	Homo sapiens	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_9606	Grape-Like	P-TABM-1451	MDAMB468	P-TABM-1453	MDAMB468	total_RNA	P-TABM-1454	MDAMB468 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	MDAMB468_3D_POP0_C09	A-AFFY-76	P-AFFY-6	MDAMB468	EFO	EFO_0001216	3D gel	MDAMB468_3D_POP0_C09	031004_LBLPOP_321521.C09_v3.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.raw.2.zip	P-TABM-1456	E-TABM-244-processed-data-1365922619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-244/E-TABM-244.processed.1.zip
