source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	Material Type	assay name	Technology Type	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment [cleavage agent details]	comment[fractionation method]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[modification parameters].4	comment[modification parameters].5	comment[modification parameters].6	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 279	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_22.raw	22	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_22.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 280	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_23.raw	23	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_23.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 281	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_24.raw	24	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_24.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 282	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_25.raw	25	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_25.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 283	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_26.raw	26	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_26.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 284	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_27.raw	27	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_27.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 285	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_28.raw	28	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_28.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 286	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_29.raw	29	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_29.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 287	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_30.raw	30	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_30.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 288	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_31.raw	31	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_31.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 289	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_32.raw	32	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_32.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 290	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_33.raw	33	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_33.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 291	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_34.raw	34	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_34.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 292	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_35.raw	35	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_35.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 293	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_36.raw	36	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_36.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 294	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_37.raw	37	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_37.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 295	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_38.raw	38	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_38.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 296	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_39.raw	39	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_SA_Hela_39frac_Trypsin_39.raw	HeLa
Sample 8	Homo sapiens	cervix	HeLa	Black	31Y	Female	epithelial cervix carcinoma	epithelial	adult	cell line	run 297	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Trypsin_39_2.raw	39_2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20150708_QE3_UPLC8_DBJ_QC_HELA_39frac_Trypsin_39_2.raw	HeLa
