source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	Material Type	assay name	Technology Type	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[fractionation method]	comment[instrument]	comment[separation]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[modification parameters].3	comment[modification parameters].4	comment[modification parameters].5	comment[modification parameters].6	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[cell line]
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 953	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_22.raw	22	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_22.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 954	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_23.raw	23	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_23.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 955	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_24.raw	24	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_24.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 956	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_25.raw	25	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_25.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 957	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_26.raw	26	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_26.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 958	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_27.raw	27	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_27.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 959	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_28.raw	28	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_28.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 960	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_29.raw	29	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_29.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 961	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_30.raw	30	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_30.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 962	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_31.raw	31	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_31.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 963	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_32.raw	32	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_32.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 964	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_33.raw	33	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_33.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 965	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_34.raw	34	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_34.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 966	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_35.raw	35	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_35.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 967	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_36.raw	36	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_36.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 968	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_37.raw	37	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_37.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 969	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_38.raw	38	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_38.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 970	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_39.raw	39	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_39.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 971	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_40.raw	40	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_40.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 972	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_41.raw	41	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_41.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 973	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_42.raw	42	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_42.raw	MCF-7
Sample 22	Homo sapiens	breast	MCF-7	Caucasian	69Y	Female	breast cancer	epithelial	adult	cell line	run 974	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/06/PXD004452/20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_43.raw	43	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	AC=PRIDE:0000564; NT=High-pH reversed-phase chromatography	NT=Q Exactive;AC=MS:1001911	NT=High-pH reversed-phase chromatography;AC=PRIDE:0000564	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Glu->pyro-Glu; MT=Variable; PP=Any N-term; AC=UNIMOD:28; TA=Q	NT=Phospho;TA=S,Y,T;MT=Variable;AC=UNIMOD:21	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=R,K;MT=Variable	AC=MS:1000422;NT=HCD	20 ppm	6 ppm	20151028_QE5_UPLC10_DBJ_SA_MCF7_REP2_46frac_43.raw	MCF-7
