Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[individual]	Characteristics[biological replicate]	Characteristics[time]	Material Type	assay name	technology type	comment[file uri]	comment[data file]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[fragment mass tolerance]	factor value[time]
PXD018588-Sample-11	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	208	2	Day 2	cell	run 33	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02397_KS__X106_M46_col3_200nlMin_3.raw	LUM_02397_KS__X106_M46_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 2
PXD018588-Sample-12	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	209	3	Day 2	cell	run 34	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02399_KS__X110_M50_col3_200nlMin_1.raw	LUM_02399_KS__X110_M50_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 2
PXD018588-Sample-12	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	210	3	Day 2	cell	run 35	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02400_KS__X110_M50_col3_200nlMin_2.raw	LUM_02400_KS__X110_M50_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 2
PXD018588-Sample-12	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	211	3	Day 2	cell	run 36	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02401_KS__X110_M50_col3_200nlMin_3.raw	LUM_02401_KS__X110_M50_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 2
PXD018588-Sample-13	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	212	1	Day 3	cell	run 37	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02402_KS__X107_M47_col3_200nlMin_1.raw	LUM_02402_KS__X107_M47_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 3
PXD018588-Sample-13	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	213	1	Day 3	cell	run 38	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02403_KS__X107_M47_col3_200nlMin_2.raw	LUM_02403_KS__X107_M47_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 3
PXD018588-Sample-13	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	214	1	Day 3	cell	run 39	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02404_KS__X107_M47_col3_200nlMin_3.raw	LUM_02404_KS__X107_M47_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 3
PXD018588-Sample-14	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	215	2	Day 3	cell	run 40	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02405_KS__X117_M57_col3_200nlMin_1.raw	LUM_02405_KS__X117_M57_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 3
PXD018588-Sample-14	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	216	2	Day 3	cell	run 41	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02406_KS__X117_M57_col3_200nlMin_2.raw	LUM_02406_KS__X117_M57_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 3
PXD018588-Sample-14	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	217	2	Day 3	cell	run 42	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02407_KS__X117_M57_col3_200nlMin_3.raw	LUM_02407_KS__X117_M57_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 3
PXD018588-Sample-15	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	218	3	Day 3	cell	run 43	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02409_KS__X109_M49_col3_200nlMin_1.raw	LUM_02409_KS__X109_M49_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 3
PXD018588-Sample-15	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	219	3	Day 3	cell	run 44	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02410_KS__X109_M49_col3_200nlMin_2.raw	LUM_02410_KS__X109_M49_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 3
PXD018588-Sample-15	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	220	3	Day 3	cell	run 45	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02411_KS__X109_M49_col3_200nlMin_3.raw	LUM_02411_KS__X109_M49_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 3
PXD018588-Sample-16	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	221	1	Day 4	cell	run 46	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02412_KS__X112_M52_col3_200nlMin_1.raw	LUM_02412_KS__X112_M52_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 4
PXD018588-Sample-16	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	222	1	Day 4	cell	run 47	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02413_KS__X112_M52_col3_200nlMin_2.raw	LUM_02413_KS__X112_M52_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 4
PXD018588-Sample-16	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	223	1	Day 4	cell	run 48	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02414_KS__X112_M52_col3_200nlMin_3.raw	LUM_02414_KS__X112_M52_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 4
PXD018588-Sample-17	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	224	2	Day 4	cell	run 49	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02415_KS__X104_M44_col3_200nlMin_1.raw	LUM_02415_KS__X104_M44_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 4
PXD018588-Sample-17	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	225	2	Day 4	cell	run 50	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02416_KS__X104_M44_col3_200nlMin_2.raw	LUM_02416_KS__X104_M44_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 4
PXD018588-Sample-17	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	226	2	Day 4	cell	run 51	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02417_KS__X104_M44_col3_200nlMin_3.raw	LUM_02417_KS__X104_M44_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 4
PXD018588-Sample-18	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	227	3	Day 4	cell	run 52	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02419_KS__X100_M40_col3_200nlMin_1.raw	LUM_02419_KS__X100_M40_col3_200nlMin_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 4
PXD018588-Sample-18	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	228	3	Day 4	cell	run 53	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02420_KS__X100_M40_col3_200nlMin_2.raw	LUM_02420_KS__X100_M40_col3_200nlMin_2.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 4
PXD018588-Sample-18	homo sapiens	human muscle cells	human muscle cells	KM155C25	not available	not available	not available	not available	25Y	229	3	Day 4	cell	run 54	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2020/05/PXD018588/LUM_02421_KS__X100_M40_col3_200nlMin_3.raw	LUM_02421_KS__X100_M40_col3_200nlMin_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:1000532;NT=Xcalibur	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	"NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Oxidation;MT=Variable;TA=M;AC=Unimod:35	not availiable	10 ppm	35%	not availiable	Day 4
