source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[sample amount]	characteristics[treatment]	characteristics[enrichment process]	characteristics[enrichment method]	Material Type	assay name	characteristics[technical replicate]	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
PXD005366-Sample-8	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	100 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 27	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_10ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_10ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-9	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	1 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 28	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_1ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_1ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-9	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	1 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 29	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_1ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_1ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-9	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	1 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 30	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_1ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_1ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-10	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 31	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_200ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_200ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-10	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 32	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_200ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_200ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-10	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 33	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_200ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_200ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-11	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	25 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 34	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_25ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_25ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-11	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	25 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 35	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_25ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_25ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-11	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	25 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 36	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_25ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_25ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-12	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	2.5 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 37	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_2p5ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_2p5ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-12	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	2.5 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 38	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_2p5ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_2p5ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-12	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	2.5 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 39	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_2p5ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_2p5ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-13	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	500 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 40	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_500ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_500ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-13	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	500 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 41	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_500ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_500ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-13	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	500 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 42	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_500ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_500ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-14	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	50 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 43	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_50ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_50ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-14	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	50 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 44	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_50ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_50ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-14	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	50 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 45	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_50ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_50ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-15	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	5 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 46	1	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_5ug_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_5ug_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-15	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	5 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 47	2	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_5ug_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_5ug_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
PXD005366-Sample-15	Homo sapiens	cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	5 ug	none	enrichment of phosphorylated Protein	Fe(III)-IMAC	cell	run 48	3	proteomic profiling by mass spectrometry	OR10_20160321_HP_RP_HeLa_5ug_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20160321_HP_RP_HeLa_5ug_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	"NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7"	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	20 ppm	0.5 Da	HeLa
