Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[data file]	comment[file uri]	Characteristics[biological replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fragment mass tolerance]	factor value[time]
PXD001432-Sample-35	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 35	proteomic profiling by mass spectrometry	SUK5557A14MA2__014-Spender3_6hP SUK5557A14MA2-40-215401.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A14MA2__014-Spender3_6hP SUK5557A14MA2-40-215401.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	6 h
PXD001432-Sample-36	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 36	proteomic profiling by mass spectrometry	SUK5557A15MA2__015-Spender4_6hP SUK5557A15MA2-40-215408.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A15MA2__015-Spender4_6hP SUK5557A15MA2-40-215408.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	6 h
PXD001432-Sample-37	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 37	proteomic profiling by mass spectrometry	SUK5557A17MA2__017-Spender1_12hP SUK5557A17MA2-40-215406.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A17MA2__017-Spender1_12hP SUK5557A17MA2-40-215406.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	12 h
PXD001432-Sample-38	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 38	proteomic profiling by mass spectrometry	SUK5557A18MA2__018-Spender2_12hP SUK5557A18MA2-40-215439.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A18MA2__018-Spender2_12hP SUK5557A18MA2-40-215439.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	12 h
PXD001432-Sample-39	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 39	proteomic profiling by mass spectrometry	SUK5557A19MA2__019-Spender3_12hP SUK5557A19MA2-40-215438.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A19MA2__019-Spender3_12hP SUK5557A19MA2-40-215438.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	12 h
PXD001432-Sample-40	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 40	proteomic profiling by mass spectrometry	SUK5557A20MA2__020-Spender4_12hP SUK5557A20MA2-40-215437.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A20MA2__020-Spender4_12hP SUK5557A20MA2-40-215437.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	12 h
PXD001432-Sample-41	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 41	proteomic profiling by mass spectrometry	SUK5557A22MA10__022-Spender1_24hP SUK5557A22MA10-40-215525.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A22MA10__022-Spender1_24hP SUK5557A22MA10-40-215525.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	24 h
PXD001432-Sample-42	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 42	proteomic profiling by mass spectrometry	SUK5557A23MA2__023-Spender2_24hP SUK5557A23MA2-40-215528.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A23MA2__023-Spender2_24hP SUK5557A23MA2-40-215528.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	24 h
PXD001432-Sample-43	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 43	proteomic profiling by mass spectrometry	SUK5557A24MA2__024-Spender3_24hP SUK5557A24MA2-40-215535.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A24MA2__024-Spender3_24hP SUK5557A24MA2-40-215535.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35	not availiable	10 ppm	0.6Da	not availiable	24 h
PXD001432-Sample-44	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 44	proteomic profiling by mass spectrometry	SUK5557A25MA2__025-Spender4_24hP SUK5557A25MA2-40-215538.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A25MA2__025-Spender4_24hP SUK5557A25MA2-40-215538.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35		10 ppm	0.6Da	not availiable	24 h
PXD001432-Sample-45	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 45	proteomic profiling by mass spectrometry	SUK5557A27MA2__027-Spender1_48hP SUK5557A27MA2-40-215548.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A27MA2__027-Spender1_48hP SUK5557A27MA2-40-215548.raw	1	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35		10 ppm	0.6Da	not availiable	48 h
PXD001432-Sample-46	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 46	proteomic profiling by mass spectrometry	SUK5557A28MA2__028-Spender2_48hP SUK5557A28MA2-40-215560.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A28MA2__028-Spender2_48hP SUK5557A28MA2-40-215560.raw	2	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35		10 ppm	0.6Da	not availiable	48 h
PXD001432-Sample-47	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 47	proteomic profiling by mass spectrometry	SUK5557A29MA2__029-Spender3_48hP SUK5557A29MA2-40-215561.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A29MA2__029-Spender3_48hP SUK5557A29MA2-40-215561.raw	3	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35		10 ppm	0.6Da	not availiable	48 h
PXD001432-Sample-48	homo sapiens	T lymphocyte	T lymphocyte	not available	not available	not available	not available	not available	not available	organism part	run 48	proteomic profiling by mass spectrometry	SUK5557A30MA2__030-Spender4_48hP SUK5557A30MA2-40-215562.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD001432/SUK5557A30MA2__030-Spender4_48hP SUK5557A30MA2-40-215562.raw	4	AC=MS:1002038;NT=label free sample	AC=BAO:0150067;NT=LTQ Orbitrap XL	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Deamidated;MT=Variable;TA=Variable;AC=UNIMOD:7	NT=Oxidation;MT=Variable;TA=Variable;AC=Unimod:35		10 ppm	0.6Da	not availiable	48 h
