Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[uri]	comment[data file]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[fragment mass tolerance]
PXD022469-sample-73	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 73	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_1.raw	AP051118_Gurjeet_Hu6_LA_C18_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-74	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 74	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_10.raw	AP051118_Gurjeet_Hu6_LA_C18_10.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-75	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 75	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_11.raw	AP051118_Gurjeet_Hu6_LA_C18_11.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-76	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 76	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_12.raw	AP051118_Gurjeet_Hu6_LA_C18_12.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-77	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 77	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_13.raw	AP051118_Gurjeet_Hu6_LA_C18_13.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-78	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 78	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_14.raw	AP051118_Gurjeet_Hu6_LA_C18_14.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-79	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 79	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_15.raw	AP051118_Gurjeet_Hu6_LA_C18_15.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-80	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 80	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_16.raw	AP051118_Gurjeet_Hu6_LA_C18_16.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-81	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 81	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_17.raw	AP051118_Gurjeet_Hu6_LA_C18_17.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-82	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 82	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_18.raw	AP051118_Gurjeet_Hu6_LA_C18_18.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-83	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 83	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_19.raw	AP051118_Gurjeet_Hu6_LA_C18_19.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-84	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 84	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_2.raw	AP051118_Gurjeet_Hu6_LA_C18_2.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-85	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 85	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_20.raw	AP051118_Gurjeet_Hu6_LA_C18_20.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-86	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 86	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_21.raw	AP051118_Gurjeet_Hu6_LA_C18_21.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-87	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 87	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_22.raw	AP051118_Gurjeet_Hu6_LA_C18_22.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-88	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 88	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_23.raw	AP051118_Gurjeet_Hu6_LA_C18_23.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-89	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 89	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_24.raw	AP051118_Gurjeet_Hu6_LA_C18_24.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-90	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 90	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_3.raw	AP051118_Gurjeet_Hu6_LA_C18_3.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-91	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 91	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_4.raw	AP051118_Gurjeet_Hu6_LA_C18_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-92	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 92	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_5.raw	AP051118_Gurjeet_Hu6_LA_C18_5.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-93	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 93	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_6.raw	AP051118_Gurjeet_Hu6_LA_C18_6.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-94	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 94	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_7.raw	AP051118_Gurjeet_Hu6_LA_C18_7.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-95	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 95	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_8.raw	AP051118_Gurjeet_Hu6_LA_C18_8.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-96	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 96	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_Hu6_LA_C18_9.raw	AP051118_Gurjeet_Hu6_LA_C18_9.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-121	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 121	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_ProtMiner_B1.raw	AP051118_Gurjeet_ProtMiner_B1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-122	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 122	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_ProtMiner_B10.raw	AP051118_Gurjeet_ProtMiner_B10.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-123	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	2	organism part	run 123	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_ProtMiner_B11.raw	AP051118_Gurjeet_ProtMiner_B11.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-124	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 124	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_ProtMiner_B12.raw	AP051118_Gurjeet_ProtMiner_B12.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-125	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 125	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_ProtMiner_B13.raw	AP051118_Gurjeet_ProtMiner_B13.raw	2	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-126	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	3	organism part	run 126	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_ProtMiner_B14.raw	AP051118_Gurjeet_ProtMiner_B14.raw	3	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
PXD022469-sample-127	homo sapiens	Blood plasma	not available	not available	not available	not available	not available	not available	not available	1	organism part	run 127	proteomic profiling by mass spectrometry	ftp://ftp.pride.ebi.ac.uk/pride-archive/2021/02/PXD022469/AP051118_Gurjeet_ProtMiner_B15.raw	AP051118_Gurjeet_ProtMiner_B15.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:0000073;NT=Q Exactive HF	AC=MS:1001251;NT=Trypsin	NT=monohydroxylated residue;TA=Variable;MT=fixed;AC=MOD:00478	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=iodoacetic acid derivatized residue;MT=Variable;TA=Variable;AC=MOD:00399	NT=iodoacetamide derivatized residue;MT=Variable;TA=Variable;AC=MOD:00397	NT=deamidated residue;MT=Variable;TA=Variable;AC=MOD:00400	not availiable	5 ppm	0.07Da	not availiable
